image:tag,component/library,vulnerability,severity
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,bash,CVE-2022-3715,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,bsdutils,CVE-2024-28085,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libblkid1,CVE-2024-28085,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc-bin,CVE-2023-4911,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc-bin,CVE-2024-2961,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc-bin,CVE-2024-33599,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc-bin,CVE-2023-4806,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc-bin,CVE-2023-4813,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc-bin,CVE-2024-33600,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc-bin,CVE-2024-33601,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc-bin,CVE-2024-33602,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc6,CVE-2023-4911,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc6,CVE-2024-2961,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc6,CVE-2024-33599,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc6,CVE-2023-4806,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc6,CVE-2023-4813,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc6,CVE-2024-33600,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc6,CVE-2024-33601,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libc6,CVE-2024-33602,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libcom-err2,CVE-2022-1304,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libdb5.3,CVE-2019-8457,CRITICAL
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgcrypt20,CVE-2021-33560,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgcrypt20,CVE-2024-2236,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgnutls30,CVE-2024-0553,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgnutls30,CVE-2024-0567,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgnutls30,CVE-2023-5981,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgnutls30,CVE-2024-28834,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgnutls30,CVE-2024-28835,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgssapi-krb5-2,CVE-2024-37371,CRITICAL
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgssapi-krb5-2,CVE-2024-37370,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libgssapi-krb5-2,CVE-2023-36054,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libk5crypto3,CVE-2024-37371,CRITICAL
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libk5crypto3,CVE-2024-37370,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libk5crypto3,CVE-2023-36054,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libkrb5-3,CVE-2024-37371,CRITICAL
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libkrb5-3,CVE-2024-37370,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libkrb5-3,CVE-2023-36054,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libkrb5support0,CVE-2024-37371,CRITICAL
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libkrb5support0,CVE-2024-37370,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libkrb5support0,CVE-2023-36054,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libmount1,CVE-2024-28085,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libncurses6,CVE-2022-29458,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libncurses6,CVE-2023-29491,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libncurses6,CVE-2023-50495,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libncursesw6,CVE-2022-29458,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libncursesw6,CVE-2023-29491,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libncursesw6,CVE-2023-50495,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam-modules,CVE-2024-10963,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam-modules,CVE-2024-10041,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam-modules,CVE-2024-22365,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam-modules-bin,CVE-2024-10963,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam-modules-bin,CVE-2024-10041,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam-modules-bin,CVE-2024-22365,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam-runtime,CVE-2024-10963,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam-runtime,CVE-2024-10041,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam-runtime,CVE-2024-22365,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam0g,CVE-2024-10963,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam0g,CVE-2024-10041,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libpam0g,CVE-2024-22365,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libsmartcols1,CVE-2024-28085,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libsqlite3-0,CVE-2021-36690,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libsqlite3-0,CVE-2023-7104,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2023-0464,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2023-0465,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2023-0466,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2023-2650,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2023-3446,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2023-3817,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2023-5678,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2024-0727,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2024-4741,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libssl1.1,CVE-2024-5535,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libsystemd0,CVE-2023-50387,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libsystemd0,CVE-2023-50868,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libsystemd0,CVE-2022-3821,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libsystemd0,CVE-2022-4415,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libsystemd0,CVE-2023-7008,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libtinfo6,CVE-2022-29458,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libtinfo6,CVE-2023-29491,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libtinfo6,CVE-2023-50495,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libudev1,CVE-2023-50387,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libudev1,CVE-2023-50868,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libudev1,CVE-2022-3821,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libudev1,CVE-2022-4415,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libudev1,CVE-2023-7008,MEDIUM
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libuuid1,CVE-2024-28085,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,libzstd1,CVE-2022-4899,HIGH
docker.io/bitnami/pytorch:1.13.1-debian-11-r24,login,CVE-2023-4641,MEDIUM
