image:tag,component/library,vulnerability,severity
bats/bats:1.2.1,apk-tools,CVE-2021-36159,CRITICAL
bats/bats:1.2.1,apk-tools,CVE-2021-30139,HIGH
bats/bats:1.2.1,busybox,CVE-2021-28831,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42378,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42379,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42380,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42381,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42382,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42383,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42384,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42385,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42386,HIGH
bats/bats:1.2.1,busybox,CVE-2021-42374,MEDIUM
bats/bats:1.2.1,libcrypto1.1,CVE-2021-3711,CRITICAL
bats/bats:1.2.1,libcrypto1.1,CVE-2020-1967,HIGH
bats/bats:1.2.1,libcrypto1.1,CVE-2021-23840,HIGH
bats/bats:1.2.1,libcrypto1.1,CVE-2021-3450,HIGH
bats/bats:1.2.1,libcrypto1.1,CVE-2021-3712,HIGH
bats/bats:1.2.1,libcrypto1.1,CVE-2020-1971,MEDIUM
bats/bats:1.2.1,libcrypto1.1,CVE-2021-23841,MEDIUM
bats/bats:1.2.1,libcrypto1.1,CVE-2021-3449,MEDIUM
bats/bats:1.2.1,libssl1.1,CVE-2021-3711,CRITICAL
bats/bats:1.2.1,libssl1.1,CVE-2020-1967,HIGH
bats/bats:1.2.1,libssl1.1,CVE-2021-23840,HIGH
bats/bats:1.2.1,libssl1.1,CVE-2021-3450,HIGH
bats/bats:1.2.1,libssl1.1,CVE-2021-3712,HIGH
bats/bats:1.2.1,libssl1.1,CVE-2020-1971,MEDIUM
bats/bats:1.2.1,libssl1.1,CVE-2021-23841,MEDIUM
bats/bats:1.2.1,libssl1.1,CVE-2021-3449,MEDIUM
bats/bats:1.2.1,musl,CVE-2020-28928,MEDIUM
bats/bats:1.2.1,musl-utils,CVE-2020-28928,MEDIUM
bats/bats:1.2.1,ssl_client,CVE-2021-28831,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42378,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42379,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42380,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42381,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42382,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42383,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42384,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42385,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42386,HIGH
bats/bats:1.2.1,ssl_client,CVE-2021-42374,MEDIUM
bats/bats:1.2.1,zlib,CVE-2022-37434,CRITICAL
