image:tag,component/library,vulnerability,severity
jenkins/jenkins:2.332.3-jdk11,bash,CVE-2022-3715,HIGH
jenkins/jenkins:2.332.3-jdk11,bsdutils,CVE-2024-28085,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2021-22945,CRITICAL
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-32207,CRITICAL
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-32221,CRITICAL
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-23914,CRITICAL
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-38545,CRITICAL
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2021-22946,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-22576,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-27775,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-27781,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-27782,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-42916,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-43551,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-27533,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-27534,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2024-2398,HIGH
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2021-22947,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-27774,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-27776,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-32205,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-32206,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-32208,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2022-43552,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-23915,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-23916,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-27535,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-27536,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-27538,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-28321,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-46218,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2023-46219,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2024-7264,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2024-8096,MEDIUM
jenkins/jenkins:2.332.3-jdk11,curl,CVE-2024-9681,MEDIUM
jenkins/jenkins:2.332.3-jdk11,dirmngr,CVE-2022-34903,MEDIUM
jenkins/jenkins:2.332.3-jdk11,e2fsprogs,CVE-2022-1304,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2022-23521,CRITICAL
jenkins/jenkins:2.332.3-jdk11,git,CVE-2022-41903,CRITICAL
jenkins/jenkins:2.332.3-jdk11,git,CVE-2024-32002,CRITICAL
jenkins/jenkins:2.332.3-jdk11,git,CVE-2019-1387,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2022-24765,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2022-29187,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2022-39260,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2023-23946,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2023-25652,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2023-29007,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2024-32004,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2024-32465,HIGH
jenkins/jenkins:2.332.3-jdk11,git,CVE-2022-39253,MEDIUM
jenkins/jenkins:2.332.3-jdk11,git,CVE-2023-22490,MEDIUM
jenkins/jenkins:2.332.3-jdk11,git-man,CVE-2022-23521,CRITICAL
jenkins/jenkins:2.332.3-jdk11,git-man,CVE-2022-41903,CRITICAL
jenkins/jenkins:2.332.3-jdk11,git-man,CVE-2024-32002,CRITICAL
jenkins/jenkins:2.332.3-jdk11,git-man,CVE-2019-1387,HIGH
jenkins/jenkins:2.332.3-jdk11,git-man,CVE-2022-24765,HIGH
